input,explanations,gold_relations
Clinicians should be aware of the possibility that vinorelbine may cause SIADH and possibly hypokalemia.,Explanation: Explanation: Explanation: Clinicians should be aware that vinorelbine may cause hypokalemia and SIADH.</s></s></s>,"[['vinorelbine', 'hypokalemia'], ['vinorelbine', 'SIADH']]"
"CONCLUSIONS: Because of its structural similarity to the other vinca alkaloids, vinorelbine is believed to be responsible for SIADH in our patient.",Explanation: Explanation: Explanation: Vinorelbine is believed to be responsible for SIADH in the patient.</s></s></s>,"[['vinorelbine', 'SIADH']]"
OBJECTIVE: To describe onset of syndrome of inappropriate antidiuretic hormone (SIADH) associated with vinorelbine therapy for advanced breast cancer.,Explanation: Explanation: Explanation: Vinorelbine therapy caused the onset of syndrome of inappropriate antidiuretic hormone (SIADH) in a patient with advanced breast cancer.</s></s></s>,"[['vinorelbine', 'SIADH'], ['vinorelbine', 'syndrome of inappropriate antidiuretic hormone']]"
Syndrome of inappropriate antidiuretic hormone associated with vinorelbine therapy.,Explanation: Explanation: Explanation: Vinorelbine therapy caused Syndrome of inappropriate antidiuretic hormone.</s></s></s>,"[['vinorelbine', 'Syndrome of inappropriate antidiuretic hormone']]"
Pirmenol hydrochloride-induced QT prolongation and T wave inversion on electrocardiogram during treatment for symptomatic atrial fibrillation.,Explanation: Explanation: Explanation: Pirmenol hydrochloride caused QT prolongation and T wave inversion on electrocardiogram during treatment for atrial fibrillation.</s></s></s>,"[['Pirmenol hydrochloride', 'QT prolongation'], ['Pirmenol hydrochloride', 'T wave inversion']]"
"Thus, an immunological mechanism might be involved in the mechanism of pirmenol-induced QT prolongation and T wave inversion on the electrocardiogram.","Explanation: Explanation: Explanation: Pirmenol induced QT prolongation and T wave inversion on the electrocardiogram, suggesting an immunological mechanism.</s></s></s>","[['pirmenol', 'QT prolongation'], ['pirmenol', 'T wave inversion']]"
"We report on a 56-year-old female who exhibited drug refractory paroxysmal atrial fibrillation, in which marked prolongation of the QT interval and T wave inversion on electrocardiogram was demonstrated reproducibly shortly after the administration of oral pirmenol therapy.",Explanation: Explanation: Explanation: Administration of pirmenol caused marked prolongation of the QT interval and T wave inversion on electrocardiogram.</s></s></s>,"[['pirmenol', 'prolongation of the QT interval'], ['pirmenol', 'T wave inversion']]"
Disseminated muscular cysticercosis with myositis induced by praziquantel therapy.,Explanation: Explanation: Explanation: Praziquantel therapy caused myositis in a case of disseminated muscular cysticercosis.</s></s></s>,"[['praziquantel', 'myositis']]"
"We describe a case of disseminated muscular cysticercosis followed by myositis (fever, diffuse myalgia, weakness of the lower limbs, and inflammatory reaction around dying cysticerci) induced by praziquantel therapy, an event not described previously.","Explanation: Explanation: Explanation: Praziquantel therapy caused diffuse myalgia, fever, inflammatory reaction around dying cysticerci, myositis, and weakness of the lower limbs in a case of disseminated muscular cysticercosis.</s></s></s>","[['praziquantel', 'diffuse myalgia'], ['praziquantel', 'fever'], ['praziquantel', 'inflammatory reaction around dying cysticerci'], ['praziquantel', 'myositis'], ['praziquantel', 'weakness of the lower limbs']]"
Massive subfascial hematoma after alteplase therapy for acute myocardial infarction.,Explanation: Explanation: Explanation: Massive subfascial hematoma occurred after alteplase therapy for acute myocardial infarction.</s></s></s>,"[['alteplase', 'Massive subfascial hematoma']]"
Physicians should be aware of the possible association between the use of alteplase and the development of subfascial hemorrhage.,Explanation: Explanation: Explanation: There is a possible association between the use of alteplase and the development of subfascial hemorrhage.</s></s></s>,"[['alteplase', 'subfascial hemorrhage']]"
The authors report a case of a patient who received alteplase for acute myocardial infarction and developed spontaneous subfascial hematoma without any evidence of direct trauma.,Explanation: Explanation: Explanation: Alteplase therapy caused a spontaneous subfascial hematoma in a patient with acute myocardial infarction.</s></s></s>,"[['alteplase', 'subfascial hematoma']]"
The development of cutaneous ecchymosis associated with a sudden fall in hemoglobin after the administration of alteplase should strongly suggest the possibility of diffuse subfascial hematoma.,"Explanation: Explanation: Explanation: Alteplase caused cutaneous ecchymosis, a sudden fall in hemoglobin, and diffuse subfascial hematoma.</s></s></s>","[['alteplase', 'cutaneous ecchymosis'], ['alteplase', 'diffuse subfascial hematoma'], ['alteplase', 'sudden fall in hemoglobin']]"
A fatal case of pancytopenia due to levomepromazine.,Explanation: Explanation: Explanation: Levomepromazine caused a fatal case of pancytopenia.</s></s></s>,"[['levomepromazine', 'fatal case of pancytopenia']]"
"A fatal pancytopenia occurred in a patient with an history of depression with hypomanic rebounds, admitted for a manic episode and treated with levomepromazine, diazepam and lithium carbonate.","Explanation: Explanation: Explanation: Fatal pancytopenia occurred in a patient who was treated with diazepam, levomepromazine, and lithium carbonate.</s></s></s>","[['diazepam', 'fatal pancytopenia'], ['levomepromazine', 'fatal pancytopenia'], ['lithium carbonate', 'fatal pancytopenia']]"
Amiodarone-induced thyrotoxicosis associated with thyrotropin receptor antibody.,Explanation: Explanation: Explanation: Amiodarone caused thyrotoxicosis and thyrotropin receptor antibody in a patient.</s></s></s>,"[['Amiodarone', 'thyrotoxicosis'], ['Amiodarone', 'thyrotropin receptor antibody']]"
"Among 12 thyrotoxic patients, a patient with arrhythmogenic right ventricular dysplasia, who had been taking amiodarone for 4 years, developed thyrotoxicosis with subacute onset, accompanied by transiently positive thyrotropin (TSH) receptor antibody (TRAb), or thyrotropin-binding inhibiting immunoglobulin (TBII).","Explanation: Explanation: Explanation: A patient taking amiodarone developed thyrotoxicosis with subacute onset, accompanied by transiently positive thyrotropin (TSH) receptor antibody (TRAb), or thyrotropin-binding inhibiting immunoglobulin (TBII).</s></s></s>","[['amiodarone', 'thyrotoxicosis'], ['amiodarone', 'thyrotropin-binding inhibiting immunoglobulin'], ['amiodarone', 'transiently positive thyrotropin (TSH) receptor antibody']]"
"Since amiodarone was first marketed in 1992 in Japan, the incidence of amiodarone-induced thyrotoxicosis (AIT) has been increasing.","Explanation: Explanation: Explanation: Since amiodarone was first marketed in 1992 in Japan, the incidence of amiodarone-induced thyrotoxicosis (AIT) has been increasing.</s></s></s>","[['amiodarone', 'AIT'], ['amiodarone', 'thyrotoxicosis']]"
"These in vitro findings and clinical course suggest that TRAb/TBII without thyroid-stimulating activity may develop in patients with amiodarone-induced destructive thyroiditis, as reported in patients with destructive thyroiditis, such as subacute and silent thyroiditis.","Explanation: Explanation: Explanation: Amiodarone-induced destructive thyroiditis can cause TRAb/TBII without thyroid-stimulating activity, as reported in patients with destructive thyroiditis, such as subacute and silent thyroiditis.</s></s></s>","[['amiodarone', 'destructive thyroiditis'], ['amiodarone', 'destructive thyroiditis'], ['amiodarone', 'thyroiditis'], ['amiodarone', 'TRAb/TBII without thyroid-stimulating activity']]"
CONCLUSION: Lipoid pneumonia as a result of mineral oil aspiration still occurs in the pediatric population.,Explanation: Explanation: Explanation: Mineral oil aspiration caused Lipoid pneumonia in the pediatric population.</s></s></s>,"[['mineral oil', 'Lipoid pneumonia']]"
"In patients with swallowing dysfunction and pneumonia, a history of mineral oil use should be obtained and a diagnosis of ELP should be considered in the differential diagnoses if mineral oil use has occurred.","Explanation: Explanation: Explanation: Mineral oil use can lead to ELP and pneumonia, as well as swallowing dysfunction.</s></s></s>","[['mineral oil', 'ELP'], ['mineral oil', 'ELP'], ['mineral oil', 'pneumonia'], ['mineral oil', 'pneumonia'], ['mineral oil', 'swallowing dysfunction'], ['mineral oil', 'swallowing dysfunction']]"
Lipoid pneumonia: a silent complication of mineral oil aspiration.,Explanation: Explanation: Explanation: Lipoid pneumonia is a silent complication of mineral oil aspiration.</s></s></s>,"[['mineral oil', 'Lipoid pneumonia']]"
"Mineral oil, a hydrocarbon, may not elicit a normal protective cough reflex and may impair mucociliary transport.",Explanation: Explanation: Explanation: Mineral oil may impair mucociliary transport and not elicit a normal protective cough reflex.</s></s></s>,"[['Mineral oil', 'impair mucociliary transport']]"
Our case points to the need for increased awareness by the general pediatricians of the potential hazards of mineral oil use for chronic constipation.,Explanation: Explanation: Explanation: Potential hazards of mineral oil use for chronic constipation need to be increased awareness by the general pediatricians.</s></s></s>,"[['mineral oil', 'potential hazards']]"
"Treatment of ELP in children is generally supportive, with the symptoms and roentgenographic abnormalities resolving within months after stopping the use of mineral oil.","Explanation: Explanation: Explanation: Mineral oil caused ELP and roentgenographic abnormalities in children, and the symptoms and abnormalities resolved after stopping the use of mineral oil.</s></s></s>","[['mineral oil', 'ELP'], ['mineral oil', 'roentgenographic abnormalities']]"
We report a case of a child with neurodevelopmental delay with chronic constipation and a history of chronic mineral oil ingestion presenting as asymptomatic exogenous lipoid pneumonia (ELP).,Explanation: Explanation: Explanation: Mineral oil ingestion caused exogenous lipoid pneumonia (ELP) in a child with neurodevelopmental delay and chronic constipation.</s></s></s>,"[['mineral oil', 'ELP'], ['mineral oil', 'exogenous lipoid pneumonia']]"
An unusual cause of burn injury: unsupervised use of drugs that contain psoralens.,Explanation: Explanation: Explanation: Unsupervised use of drugs containing psoralens caused burn injury.</s></s></s>,"[['burn injury', 'psoralens']]"
"Because psoralens sensitize skin to ultraviolet A light, phototoxic reactions are the most frequent adverse effect of this treatment.",Explanation: Explanation: Explanation: Phototoxic reactions are the most frequent adverse effect of psoralens treatment.</s></s></s>,"[['psoralens', 'phototoxic reactions']]"
